,Unnamed: 0,customer_id,comunidad_autonoma,provincia,edad,genero,renta_bruta_media,tipo_servicio,tipo_facturacion,tarifa_id,coste_tarifa,tipo_venta,operador_portabilidad,num_ventas,alarma,energia,servicios_adicionales,cuota,meses_financiacion,financia
941494,941494,2175772,ANDALUCIA,SEVILLA,60-70,fem,renta_media,FIX,POSTPAID,CONTFHF999GNTR02,coste_tarifa_alta,NEW SALE,,numero_ventas_media,,,,0,0,financia
11840,11840,8635185,ANDALUCIA,JAEN,50-60,masc,,FIX,POSTPAID,CONTFHF030GR,coste_tarifa_alta,UPSELL,,numero_ventas_baja,,,,0,0,financia
376747,376747,6946922,MADRID (COMUNIDAD DE),MADRID,30-40,masc,renta_media,MOBILE,POSTPAID,CONT006GR,coste_tarifa_baja,,,,,,,20--0--25--18,0--24,financia
676358,676358,5820860,ANDALUCIA,SEVILLA,50-60,masc,renta_baja,MOBILE,POSTPAID,CONT33,coste_tarifa_media,UPSELL,,numero_ventas_alta,,,,1--0,0--24,financia
1134740,1134740,7089552,CASTILLA-LA MANCHA,CIUDAD REAL,30-40,fem,,MOBILE,POSTPAID,CONT999GR01,coste_tarifa_media,UPSELL,,numero_ventas_media,,,,0,0,financia
633963,633963,4698427,ANDALUCIA,GRANADA,70-80,masc,,MOBILE,POSTPAID,CONT015GR,coste_tarifa_media,UPSELL,,numero_ventas_baja,,,,0,0,financia
32413,32413,6723495,GALICIA,LUGO,40-50,masc,,MOBILE,POSTPAID,CONT24,coste_tarifa_media,UPSELL,,numero_ventas_baja,,,,6--1,24,financia
1127110,1127110,7602547,CASTILLA-LA MANCHA,CIUDAD REAL,50-60,masc,,MOBILE,POSTPAID,CONT9,coste_tarifa_baja,,,,,,,2,24,financia
1380303,1380303,5218445,CATALUNYA,TARRAGONA,40-50,masc,,MOBILE,POSTPAID,CONT28,coste_tarifa_baja,,,,,,,25--30,24,financia
714721,714721,5478937,ANDALUCIA,MALAGA,50-60,masc,renta_baja,MOBILE,POSTPAID,CONT030GR,coste_tarifa_media,,,,,,,7--0--5,24--0,financia
1400430,1400430,9243227,CANARIAS,LAS PALMAS,50-60,masc,,MOBILE,POSTPAID,CONT28,coste_tarifa_baja,UPSELL,,numero_ventas_media,,,,2--0,0--24,financia
442446,442446,9983051,MADRID (COMUNIDAD DE),MADRID,50-60,masc,,FIX,POSTPAID,CONTFHD999GTR04,coste_tarifa_alta,NEW SALE,MOVISTAR,numero_ventas_baja,,,,0,0,financia
944841,944841,1647855,ASTURIAS (PRINCIPADO DE),ASTURIAS,60-70,fem,renta_baja,MOBILE,POSTPAID,CONT24,coste_tarifa_media,,,,,,,5--0,0--24,financia
848217,848217,8544958,ANDALUCIA,CORDOBA,40-50,fem,renta_media,FIX,POSTPAID,CONTFHE015GR,coste_tarifa_media,UPSELL,,numero_ventas_baja,,,,0,0,financia
538934,538934,1944846,MURCIA (REGION DE),MURCIA,60-70,masc,,MOBILE,POSTPAID,CONTFHC010GR,coste_tarifa_media,UPSELL,,numero_ventas_alta,,,,0--5,0--24,financia
274159,274159,8376339,ANDALUCIA,CADIZ,40-50,masc,renta_media,MOBILE,POSTPAID,CONT33,coste_tarifa_media,,,,,,,8,24,financia
1048789,1048789,9288728,CATALUNYA,TARRAGONA,30-40,fem,,MOBILE,POSTPAID,CONT28,coste_tarifa_baja,NEW SALE,EUSKALTEL,numero_ventas_alta,,,HEBECUSTSVA,0--4--1,0--24,financia
1057067,1057067,7238492,CATALUNYA,TARRAGONA,60-70,fem,,FIXandMOBILE,POSTPAID,,coste_tarifa_alta,UPSELL,,numero_ventas_baja,,,,6--0,0--24,financia
707278,707278,9251543,ANDALUCIA,MALAGA,60-70,masc,renta_baja,MOBILE,POSTPAID,CONT003GR,coste_tarifa_baja,NEW SALE,VODAFONE ENABLER,numero_ventas_baja,,,,,,
736042,736042,5053649,ANDALUCIA,MALAGA,30-40,fem,,MOBILE,POSTPAID,CONTFHE015GNR01,coste_tarifa_media,UPSELL,,numero_ventas_alta,,,,4--7--3--5--1--0,24--0,financia
